{'col': 1, 'row': 1, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 2, 'row': 1, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 3, 'row': 1, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 4, 'row': 1, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 5, 'row': 1, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 6, 'row': 1, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 7, 'row': 1, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 8, 'row': 1, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 9, 'row': 1, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 10, 'row': 1, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 11, 'row': 1, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 12, 'row': 1, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 1, 'row': 2, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 2, 'row': 2, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 3, 'row': 2, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 4, 'row': 2, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 5, 'row': 2, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 6, 'row': 2, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 7, 'row': 2, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 8, 'row': 2, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 9, 'row': 2, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 10, 'row': 2, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 11, 'row': 2, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 12, 'row': 2, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 1, 'row': 3, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 2, 'row': 3, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 3, 'row': 3, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 4, 'row': 3, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 5, 'row': 3, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 6, 'row': 3, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 7, 'row': 3, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 8, 'row': 3, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 9, 'row': 3, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 10, 'row': 3, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 11, 'row': 3, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 12, 'row': 3, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 1, 'row': 4, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 2, 'row': 4, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 3, 'row': 4, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 4, 'row': 4, 'tileID': 'w1', 'tileIndex': 5, 'collision': True, 'flags': []}
{'col': 5, 'row': 4, 'tileID': 't1', 'tileIndex': 4, 'collision': True, 'flags': []}
{'col': 6, 'row': 4, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 7, 'row': 4, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
{'col': 8, 'row': 4, 'tileID': 's1', 'tileIndex': 5, 'collision': False, 'flags': []}
