{'col': 1, 'row': 1, 'tileID': 'b1', 'tileIndex': 2, 'collision': True,}
{'col': 2, 'row': 1, 'tileID': 'b1', 'tileIndex': 2, 'collision': True,}
{'col': 3, 'row': 1, 'tileID': 'b1', 'tileIndex': 2, 'collision': True,}
{'col': 4, 'row': 1, 'tileID': 'b1', 'tileIndex': 2, 'collision': True,}
{'col': 5, 'row': 1, 'tileID': 'b1', 'tileIndex': 2, 'collision': True,}
{'col': 6, 'row': 1, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 7, 'row': 1, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 8, 'row': 1, 'tileID': 'b1', 'tileIndex': 2, 'collision': True,}
{'col': 9, 'row': 1, 'tileID': 'b1', 'tileIndex': 2, 'collision': True,}
{'col': 10, 'row': 1, 'tileID': 'b1', 'tileIndex': 2, 'collision': True,}
{'col': 11, 'row': 1, 'tileID': 'b1', 'tileIndex': 2, 'collision': True,}
{'col': 12, 'row': 1, 'tileID': 'b1', 'tileIndex': 2, 'collision': True,}
{'col': 1, 'row': 2, 'tileID': 'b1', 'tileIndex': 2, 'collision': True,}
{'col': 2, 'row': 2, 'tileID': 'b1', 'tileIndex': 2, 'collision': True,}
{'col': 3, 'row': 2, 'tileID': 'd1', 'tileIndex': 5, 'collision': False,}
{'col': 4, 'row': 2, 'tileID': 'd1', 'tileIndex': 6, 'collision': False,}
{'col': 5, 'row': 2, 'tileID': 'b1', 'tileIndex': 2, 'collision': True,}
{'col': 6, 'row': 2, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 7, 'row': 2, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 8, 'row': 2, 'tileID': 'b1', 'tileIndex': 2, 'collision': True,}
{'col': 9, 'row': 2, 'tileID': 'd1', 'tileIndex': 5, 'collision': False,}
{'col': 10, 'row': 2, 'tileID': 'd1', 'tileIndex': 6, 'collision': False,}
{'col': 11, 'row': 2, 'tileID': 'b1', 'tileIndex': 2, 'collision': True,}
{'col': 12, 'row': 2, 'tileID': 'b1', 'tileIndex': 2, 'collision': True,}
{'col': 1, 'row': 3, 'tileID': 'b1', 'tileIndex': 2, 'collision': True,}
{'col': 2, 'row': 3, 'tileID': 'b1', 'tileIndex': 2, 'collision': True,}
{'col': 3, 'row': 3, 'tileID': 'd1', 'tileIndex': 7, 'collision': False,}
{'col': 4, 'row': 3, 'tileID': 'd1', 'tileIndex': 8, 'collision': False,}
{'col': 5, 'row': 3, 'tileID': 'b1', 'tileIndex': 2, 'collision': True,}
{'col': 6, 'row': 3, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 7, 'row': 3, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 8, 'row': 3, 'tileID': 'b1', 'tileIndex': 2, 'collision': True,}
{'col': 9, 'row': 3, 'tileID': 'd1', 'tileIndex': 7, 'collision': False,}
{'col': 10, 'row': 3, 'tileID': 'd1', 'tileIndex': 8, 'collision': False,}
{'col': 11, 'row': 3, 'tileID': 'b1', 'tileIndex': 2, 'collision': True,}
{'col': 12, 'row': 3, 'tileID': 'b1', 'tileIndex': 2, 'collision': True,}
{'col': 1, 'row': 4, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 2, 'row': 4, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 3, 'row': 4, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 4, 'row': 4, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 5, 'row': 4, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 6, 'row': 4, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 7, 'row': 4, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 8, 'row': 4, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 9, 'row': 4, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 10, 'row': 4, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 11, 'row': 4, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 12, 'row': 4, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 1, 'row': 5, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 2, 'row': 5, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 3, 'row': 5, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 4, 'row': 5, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
{'col': 5, 'row': 5, 'tileID': 's1', 'tileIndex': 5, 'collision': False,}
